term,frequency,density,occurrence
footer,205,0.0006117303015382779,0.392
well,198,0.0005908419497784342,0.392
search,292,0.0008713426734106202,0.392
change,174,0.0005192247437446846,0.392
value,441,0.001315966160870149,0.392
alignleft,370,0.0011040985930203064,0.388
want,215,0.0006415708040523403,0.388
newsletters,112,0.00033421362815749816,0.384
live,123,0.00036703818092296674,0.384
sansserif,775,0.002312638944839831,0.384
link,185,0.0005520492965101532,0.38
microsoft,311,0.0009280396281873387,0.38
dont,249,0.0007430285126001522,0.38
hardware,157,0.0004684958894707787,0.38
nowrap,228,0.0006803634573206213,0.372
list,270,0.0008056935678796831,0.368
first,183,0.0005460811960073408,0.368
products,190,0.0005669695477671844,0.368
set,151,0.00045059158796234127,0.368
available,203,0.0006057622010354654,0.368
take,152,0.00045357563821374754,0.364
product,199,0.0005938260000298405,0.364
last,208,0.0006206824522924966,0.364
security,278,0.000829565969890933,0.364
latest,362,0.0010802261910090565,0.36
visit,186,0.0005550333467615595,0.36
hspace,128,0.0003819584321799979,0.36
week,280,0.0008355340703937454,0.36
networks,142,0.00042373513569968517,0.36
next,149,0.0004446234874595288,0.36
july,203,0.0006057622010354654,0.36
digital,197,0.0005878578995270281,0.356
version,228,0.0006803634573206213,0.356
computer,298,0.0008892469749190576,0.356
know,170,0.0005072885427390597,0.352
faq,90,0.000268564522626561,0.352
script,231,0.00068931560807484,0.352
input,842,0.002512570311684049,0.352
back,165,0.0004923682914820286,0.348
site,339,0.0010115930352267131,0.348
rowspan,631,0.0018829357086373334,0.348
today,201,0.000599794100532653,0.348
serif,722,0.0021544842815153006,0.348
day,161,0.00048043209047640364,0.348
alt,1381,0.0041209733971920084,0.344
subscriptions,89,0.0002655804723751548,0.344
future,134,0.0003998627336884353,0.34
personal,145,0.0004326872864539039,0.34
good,188,0.0005610014472643719,0.34
facearial,1875,0.005595094221386688,0.34
youre,148,0.0004416394372081226,0.34
geneva,764,0.0022798143920743624,0.336
way,225,0.0006714113065664026,0.336
text,214,0.000638586753800934,0.336
cnet,458,0.001366695015144055,0.332
comparisons,87,0.0002596123718723423,0.332
page,156,0.00046551183921937243,0.332
popular,184,0.000549065246258747,0.332
features,164,0.0004893842412306223,0.332
marginheight,83,0.0002476761708667174,0.332
much,183,0.0005460811960073408,0.332
full,243,0.0007251242110917148,0.332
px,720,0.002148516181012488,0.328
two,165,0.0004923682914820286,0.328
group,210,0.0006266505527953091,0.328
view,161,0.00048043209047640364,0.328
open,155,0.0004625277889679662,0.328
issue,131,0.0003909105829342166,0.328
using,184,0.000549065246258747,0.328
isnbsp,81,0.00024170807036390493,0.324
best,134,0.0003998627336884353,0.324
notrack,83,0.0002476761708667174,0.324
marginwidth,81,0.00024170807036390493,0.324
media,213,0.0006356027035495277,0.32
support,164,0.0004893842412306223,0.32
including,128,0.0003819584321799979,0.32
daily,211,0.0006296346030467153,0.32
many,149,0.0004446234874595288,0.32
without,183,0.0005460811960073408,0.316
downloads,176,0.0005251928442474972,0.312
work,171,0.000510272592990466,0.312
download,261,0.000778837115617027,0.312
typetext,154,0.00045954373871656,0.312
reviews,129,0.00038494248243140417,0.312
content,156,0.00046551183921937243,0.308
net,156,0.00046551183921937243,0.308
bit,116,0.0003461498291631231,0.308
format,125,0.0003730062814257792,0.308
arial,913,0.002724437879533891,0.304
typesubmit,157,0.0004684958894707787,0.304
job,109,0.0003252614774032795,0.304
windows,496,0.0014800889246974918,0.3
look,164,0.0004893842412306223,0.3
business,185,0.0005520492965101532,0.3
technology,165,0.0004923682914820286,0.296
try,125,0.0003730062814257792,0.296
bgcoloreeeeee,234,0.0006982677588290586,0.296
tell,96,0.0002864688241349984,0.296
meta,129,0.00038494248243140417,0.296
bgcolorcccccc,469,0.0013995195679095236,0.292
still,118,0.0003521179296659356,0.288
include,159,0.00047446398997359117,0.288
users,153,0.00045655968846515375,0.288
valignbottom,203,0.0006057622010354654,0.288
receive,122,0.00036405413067156053,0.288
great,144,0.00042970323620249764,0.288
even,154,0.00045954373871656,0.288
days,106,0.0003163093266490608,0.288
people,141,0.00042075108544827896,0.288
editor,177,0.0005281768944989033,0.288
facems,645,0.0019247124121570206,0.284
gif,196,0.0005848738492756218,0.28
subscribed,79,0.00023573996986109245,0.28
buy,116,0.0003461498291631231,0.28
add,104,0.0003103412261462483,0.28
network,174,0.0005192247437446846,0.276
award,70,0.00020888351759843635,0.276
special,99,0.0002954209748892171,0.276
line,123,0.00036703818092296674,0.276
start,136,0.0004058308341912478,0.276
say,139,0.0004147829849454665,0.276
server,220,0.0006564910553093714,0.276
methodget,112,0.00033421362815749816,0.272
valuego,144,0.00042970323620249764,0.272
select,143,0.00042671918595109143,0.268
date,135,0.00040284678393984153,0.268
applications,112,0.00033421362815749816,0.268
file,242,0.0007221401608403085,0.268
option,177,0.0005281768944989033,0.268
sign,93,0.00027751667338077974,0.264
bgcolorffcc,485,0.0014472643719320233,0.264
company,236,0.0007042358593318712,0.264
registered,78,0.00023275591960968622,0.264
show,105,0.00031332527639765453,0.26
style,212,0.0006326186532981216,0.26
power,94,0.00028050072363218595,0.26
found,105,0.00031332527639765453,0.26
cost,95,0.0002834847738835922,0.26
looking,111,0.00033122957790609195,0.256
used,110,0.0003282455276546857,0.256
section,87,0.0002596123718723423,0.256
data,173,0.0005162406934932784,0.256
feature,125,0.0003730062814257792,0.256
years,115,0.00034316577891171685,0.256
keep,100,0.0002984050251406234,0.256
games,163,0.0004864001909792161,0.252
user,100,0.0002984050251406234,0.252
application,136,0.0004058308341912478,0.252
zdnet,169,0.0005043044924876535,0.252
run,96,0.0002864688241349984,0.252
every,122,0.00036405413067156053,0.252
review,162,0.00048341614072780985,0.252
systems,129,0.00038494248243140417,0.252
li,767,0.0022887665428285814,0.248
apple,123,0.00036703818092296674,0.248
copy,148,0.0004416394372081226,0.248
better,116,0.0003461498291631231,0.244
edition,95,0.0002834847738835922,0.244
card,131,0.0003909105829342166,0.244
tbody,473,0.0014114557689151486,0.244
browser,114,0.00034018172866031064,0.244
always,102,0.00030437312564343585,0.24
release,129,0.00038494248243140417,0.24
files,142,0.00042373513569968517,0.24
faceverdana,709,0.00211569162824702,0.24
trial,142,0.00042373513569968517,0.24
sure,94,0.00028050072363218595,0.24
vspace,96,0.0002864688241349984,0.24
iframe,120,0.00035808603016874806,0.24
questions,84,0.00025066022111812364,0.24
following,108,0.0003222774271518732,0.24
note,92,0.0002745326231293735,0.24
enter,77,0.00022977186935828,0.236
really,127,0.0003789743819285917,0.236
tool,92,0.0002745326231293735,0.236
name,96,0.0002864688241349984,0.236
write,83,0.0002476761708667174,0.236
xp,181,0.0005401130955045283,0.236
mp,157,0.0004684958894707787,0.236
things,106,0.0003163093266490608,0.236
update,121,0.00036107008042015427,0.236
reports,108,0.0003222774271518732,0.232
watch,91,0.00027154857287796727,0.232
easy,113,0.00033719767840890443,0.232
mail,114,0.00034018172866031064,0.232
cant,85,0.00025364427136952985,0.232
thats,103,0.00030735717589484206,0.228
wireless,158,0.0004714799397221849,0.228
million,104,0.0003103412261462483,0.228
year,103,0.00030735717589484206,0.228
access,143,0.00042671918595109143,0.228
save,115,0.00034316577891171685,0.228
another,97,0.0002894528743864047,0.228
ms,246,0.0007340763618459335,0.228
privacy,78,0.00023275591960968622,0.228
ever,85,0.00025364427136952985,0.224
sites,115,0.00034316577891171685,0.224
report,109,0.0003252614774032795,0.224
august,97,0.0002894528743864047,0.224
money,95,0.0002834847738835922,0.224
said,128,0.0003819584321799979,0.224
required,83,0.0002476761708667174,0.224
issues,106,0.0003163093266490608,0.224
youll,101,0.0003013890753920296,0.224
book,166,0.0004953523417334347,0.224
public,95,0.0002834847738835922,0.224
music,141,0.00042075108544827896,0.224
cool,82,0.00024469212061531116,0.224
bgcolorffffef,69,0.00020589946734703014,0.224
jobs,85,0.00025364427136952985,0.224
left,81,0.00024170807036390493,0.224
office,107,0.000319293376900467,0.224
banner,111,0.00033122957790609195,0.22
since,86,0.0002566283216209361,0.22
world,134,0.0003998627336884353,0.22
simply,80,0.0002387240201124987,0.22
professional,81,0.00024170807036390493,0.22
three,87,0.0002596123718723423,0.22
instead,70,0.00020888351759843635,0.22
contact,84,0.00025066022111812364,0.22
create,81,0.00024170807036390493,0.22
quick,93,0.00027751667338077974,0.22
ul,255,0.0007609328141085895,0.216
seen,71,0.00021186756784984258,0.216
networking,95,0.0002834847738835922,0.216
thanks,75,0.00022380376885546753,0.216
general,76,0.00022678781910687377,0.216
question,80,0.0002387240201124987,0.216
strong,244,0.0007281082613431211,0.216
editors,85,0.00025364427136952985,0.216
header,68,0.0002029154170956239,0.216
lists,74,0.0002208197186040613,0.216
policy,73,0.00021783566835265506,0.212
points,111,0.00033122957790609195,0.212
os,172,0.0005132566432418722,0.212
offer,91,0.00027154857287796727,0.212
community,79,0.00023573996986109245,0.212
program,129,0.00038494248243140417,0.212
linux,253,0.0007549647136057771,0.212
got,93,0.00027751667338077974,0.212
tips,239,0.0007131880100860899,0.208
collection,100,0.0002984050251406234,0.208
makes,66,0.00019694731659281143,0.208
pt,563,0.0016800202915417096,0.208
whether,75,0.00022380376885546753,0.208
todays,57,0.00017009086433015532,0.208
enjoy,88,0.0002625964221237486,0.208
im,129,0.00038494248243140417,0.208
bottom,78,0.00023275591960968622,0.208
register,85,0.00025364427136952985,0.208
srchttpwwwcnetcombgif,1926,0.005747280784208406,0.208
options,85,0.00025364427136952985,0.208
part,85,0.00025364427136952985,0.208
amp,74,0.0002208197186040613,0.208
going,86,0.0002566283216209361,0.208
altsign,51,0.00015218656282171792,0.204
books,85,0.00025364427136952985,0.204
never,93,0.00027751667338077974,0.204
easily,62,0.00018501111558718648,0.204
newscom,102,0.00030437312564343585,0.204
story,217,0.0006475389045551527,0.204
market,130,0.0003879265326828104,0.204
around,80,0.0002387240201124987,0.204
subject,94,0.00028050072363218595,0.204
four,64,0.00019097921608999895,0.204
complete,68,0.0002029154170956239,0.204
friend,78,0.00023275591960968622,0.204
contenttype,121,0.00036107008042015427,0.204
srchttpartvcomcnetdinlftgif,51,0.00015218656282171792,0.204
fun,118,0.0003521179296659356,0.2
month,71,0.00021186756784984258,0.2
database,103,0.00030735717589484206,0.2
quickly,97,0.0002894528743864047,0.2
comments,70,0.00020888351759843635,0.2
little,86,0.0002566283216209361,0.2
memory,99,0.0002954209748892171,0.2
past,85,0.00025364427136952985,0.2
choice,151,0.00045059158796234127,0.196
making,66,0.00019694731659281143,0.196
learn,79,0.00023573996986109245,0.196
join,72,0.00021485161810124882,0.196
small,107,0.000319293376900467,0.196
phone,93,0.00027751667338077974,0.196
video,119,0.0003551019799173418,0.196
order,89,0.0002655804723751548,0.196
already,73,0.00021783566835265506,0.196
textplain,50,0.0001492025125703117,0.196
put,67,0.00019993136684421766,0.196
something,78,0.00023275591960968622,0.196
says,84,0.00025066022111812364,0.196
come,70,0.00020888351759843635,0.196
problems,87,0.0002596123718723423,0.196
area,111,0.00033122957790609195,0.192
play,118,0.0003521179296659356,0.192
box,83,0.0002476761708667174,0.192
weekly,69,0.00020589946734703014,0.192
weeks,123,0.00036703818092296674,0.192
designed,70,0.00020888351759843635,0.192
column,97,0.0002894528743864047,0.192
less,74,0.0002208197186040613,0.192
enough,70,0.00020888351759843635,0.192
contenttransferencoding,112,0.00033421362815749816,0.192
youve,67,0.00019993136684421766,0.188
control,74,0.0002208197186040613,0.188
fast,76,0.00022678781910687377,0.188
allows,65,0.0001939632663414052,0.188
companies,123,0.00036703818092296674,0.188
typehidden,466,0.001390567417155305,0.188
srchttpwwwzdnetcombgif,1194,0.003562956000179043,0.188
series,83,0.0002476761708667174,0.188
big,89,0.0002655804723751548,0.188
id,67,0.00019993136684421766,0.188
none,206,0.0006147143517896841,0.188
srchttpwwwcnetcomidpsmrbgif,47,0.00014025036181609298,0.188
url,80,0.0002387240201124987,0.188
let,70,0.00020888351759843635,0.188
solid,357,0.0010653059397520254,0.188
texthtml,47,0.00014025036181609298,0.188
made,71,0.00021186756784984258,0.188
srchttpgservcnetzdnetcomclearoutboundgifappidemidnleissue,47,0.00014025036181609298,0.188
original,72,0.00021485161810124882,0.184
languagejavascript,49,0.00014621846231890545,0.184
soon,62,0.00018501111558718648,0.184
details,81,0.00024170807036390493,0.184
case,84,0.00025066022111812364,0.184
real,69,0.00020589946734703014,0.184
tools,88,0.0002625964221237486,0.184
print,73,0.00021783566835265506,0.184
graphics,66,0.00019694731659281143,0.184
low,69,0.00020589946734703014,0.184
offers,78,0.00023275591960968622,0.18
sent,75,0.00022380376885546753,0.18
feedback,82,0.00024469212061531116,0.18
think,83,0.0002476761708667174,0.18
doesnt,61,0.00018202706533578027,0.18
however,75,0.00022380376885546753,0.18
frameborder,45,0.0001342822613132805,0.18
powerful,60,0.00017904301508437403,0.18
remove,70,0.00020888351759843635,0.18
scrollingno,45,0.0001342822613132805,0.18
able,64,0.00019097921608999895,0.18
valignmiddle,105,0.00031332527639765453,0.18
getting,54,0.0001611387135759366,0.18
cios,54,0.0001611387135759366,0.18
place,64,0.00019097921608999895,0.18
large,65,0.0001939632663414052,0.18
away,51,0.00015218656282171792,0.18
image,85,0.00025364427136952985,0.18
screen,71,0.00021186756784984258,0.176
old,68,0.0002029154170956239,0.176
qqqqqqqqqqzdnetspamassassintaintorg,45,0.0001342822613132805,0.176
srchttpwwwzdnetcomincludeadsjsrgroup,44,0.0001312982110618743,0.176
pretty,88,0.0002625964221237486,0.176
mac,136,0.0004058308341912478,0.176
might,84,0.00025066022111812364,0.176
hard,88,0.0002625964221237486,0.176
environment,57,0.00017009086433015532,0.176
srchttpwwwzdnetcomincludeadsifcrgroup,44,0.0001312982110618743,0.176
shows,51,0.00015218656282171792,0.176
terms,62,0.00018501111558718648,0.176
coming,74,0.0002208197186040613,0.176
brick,88,0.0002625964221237486,0.176
etc,84,0.00025066022111812364,0.176
anything,60,0.00017904301508437403,0.176
else,86,0.0002566283216209361,0.176
hear,55,0.00016412276382734285,0.176
running,66,0.00019694731659281143,0.176
sony,82,0.00024469212061531116,0.176
picks,62,0.00018501111558718648,0.176
srchttphomecnetcombgif,1319,0.003935962281604822,0.176
plus,72,0.00021485161810124882,0.172
main,64,0.00019097921608999895,0.172
number,85,0.00025364427136952985,0.172
desktop,90,0.000268564522626561,0.172
href,106,0.0003163093266490608,0.172
names,54,0.0001611387135759366,0.172
isnt,60,0.00017904301508437403,0.172
bring,57,0.00017009086433015532,0.172
whats,76,0.00022678781910687377,0.172
subscribe,78,0.00023275591960968622,0.172
audio,83,0.0002476761708667174,0.172
upgrade,60,0.00017904301508437403,0.168
clicks,42,0.00012533011055906182,0.168
stop,56,0.00016710681407874908,0.168
classic,52,0.00015517061307312416,0.168
account,77,0.00022977186935828,0.168
must,69,0.00020589946734703014,0.168
fontfamily,199,0.0005938260000298405,0.168
lines,57,0.00017009086433015532,0.168
project,84,0.00025066022111812364,0.168
stylecolor,280,0.0008355340703937454,0.168
listed,75,0.00022380376885546753,0.168
messages,75,0.00022380376885546753,0.168
paper,68,0.0002029154170956239,0.168
mark,51,0.00015218656282171792,0.168
long,73,0.00021783566835265506,0.168
cards,59,0.0001760589648329678,0.168
far,59,0.0001760589648329678,0.168
unique,53,0.0001581546633245304,0.168
typetextcss,63,0.00018799516583859271,0.168
hreftop,54,0.0001611387135759366,0.168
minutes,56,0.00016710681407874908,0.168
hours,48,0.0001432344120674992,0.164
pro,89,0.0002655804723751548,0.164
nosend,62,0.00018501111558718648,0.164
verdana,72,0.00021485161810124882,0.164
comic,119,0.0003551019799173418,0.164
several,58,0.00017307491458156156,0.164
creating,53,0.0001581546633245304,0.164
yet,57,0.00017009086433015532,0.164
nametarget,41,0.00012234606030765558,0.164
problem,74,0.0002208197186040613,0.164
received,59,0.0001760589648329678,0.164
stuff,94,0.00028050072363218595,0.164
clients,51,0.00015218656282171792,0.164
canon,123,0.00036703818092296674,0.164
others,57,0.00017009086433015532,0.164
important,54,0.0001611387135759366,0.164
dear,44,0.0001312982110618743,0.164
customers,66,0.00019694731659281143,0.16
areas,47,0.00014025036181609298,0.16
delivery,45,0.0001342822613132805,0.16
love,57,0.00017009086433015532,0.16
lot,58,0.00017307491458156156,0.16
portal,48,0.0001432344120674992,0.16
recommend,112,0.00033421362815749816,0.16
tasks,63,0.00018799516583859271,0.16
code,337,0.0010056249347239008,0.16
core,72,0.00021485161810124882,0.16
background,134,0.0003998627336884353,0.16
includes,53,0.0001581546633245304,0.156
weve,69,0.00020589946734703014,0.156
useful,66,0.00019694731659281143,0.156
fontsize,175,0.0005222087939960909,0.156
leftmargin,39,0.00011637795980484311,0.156
share,62,0.00018501111558718648,0.156
xml,60,0.00017904301508437403,0.156
give,63,0.00018799516583859271,0.156
topmargin,39,0.00011637795980484311,0.156
performance,61,0.00018202706533578027,0.156
months,67,0.00019993136684421766,0.156
engine,50,0.0001492025125703117,0.156
second,61,0.00018202706533578027,0.156
ive,81,0.00024170807036390493,0.156
reply,60,0.00017904301508437403,0.156
charsetiso,75,0.00022380376885546753,0.156
updates,57,0.00017009086433015532,0.156
worth,57,0.00017009086433015532,0.156
via,63,0.00018799516583859271,0.156
theres,62,0.00018501111558718648,0.156
store,73,0.00021783566835265506,0.156
stock,127,0.0003789743819285917,0.156
clock,45,0.0001342822613132805,0.156
based,61,0.00018202706533578027,0.156
bits,47,0.00014025036181609298,0.152
street,68,0.0002029154170956239,0.152
comes,47,0.00014025036181609298,0.152
comment,62,0.00018501111558718648,0.152
cds,47,0.00014025036181609298,0.152
sort,46,0.00013726631156468674,0.152
array,87,0.0002596123718723423,0.152
drive,77,0.00022977186935828,0.152
normal,103,0.00030735717589484206,0.152
conference,60,0.00017904301508437403,0.152
mb,115,0.00034316577891171685,0.152
fff,220,0.0006564910553093714,0.152
process,58,0.00017307491458156156,0.152
publishing,43,0.00012831416081046806,0.152
either,57,0.00017009086433015532,0.152
attention,47,0.00014025036181609298,0.148
domain,43,0.00012831416081046806,0.148
begin,119,0.0003551019799173418,0.148
ultimate,48,0.0001432344120674992,0.148
issn,37,0.00011040985930203065,0.148
central,44,0.0001312982110618743,0.148
vertical,71,0.00021186756784984258,0.148
tag,51,0.00015218656282171792,0.148
catalog,39,0.00011637795980484311,0.148
actually,54,0.0001611387135759366,0.148
experience,49,0.00014621846231890545,0.148
operating,90,0.000268564522626561,0.148
recently,66,0.00019694731659281143,0.148
snap,38,0.00011339390955343688,0.148
hp,61,0.00018202706533578027,0.148
player,85,0.00025364427136952985,0.148
current,57,0.00017009086433015532,0.148
textdecoration,259,0.0007728690151142145,0.148
favorite,46,0.00013726631156468674,0.148
industry,71,0.00021186756784984258,0.148
created,48,0.0001432344120674992,0.148
filter,41,0.00012234606030765558,0.148
forms,41,0.00012234606030765558,0.144
contacts,48,0.0001432344120674992,0.144
works,48,0.0001432344120674992,0.144
fontweight,136,0.0004058308341912478,0.144
word,90,0.000268564522626561,0.144
pay,49,0.00014621846231890545,0.144
chat,40,0.00011936201005624934,0.144
life,97,0.0002894528743864047,0.144
point,52,0.00015517061307312416,0.144
alink,47,0.00014025036181609298,0.144
altcnet,53,0.0001581546633245304,0.144
lives,49,0.00014621846231890545,0.144
status,39,0.00011637795980484311,0.144
sound,52,0.00015517061307312416,0.144
mouse,49,0.00014621846231890545,0.144
highlight,38,0.00011339390955343688,0.144
links,75,0.00022380376885546753,0.144
mps,43,0.00012831416081046806,0.144
deluxe,36,0.00010742580905062441,0.144
provides,45,0.0001342822613132805,0.144
described,38,0.00011339390955343688,0.144
team,58,0.00017307491458156156,0.144
lets,58,0.00017307491458156156,0.144
easytouse,37,0.00011040985930203065,0.144
results,48,0.0001432344120674992,0.144
hosted,40,0.00011936201005624934,0.144
boxes,42,0.00012533011055906182,0.144
bold,54,0.0001611387135759366,0.144
worry,39,0.00011637795980484311,0.144
nametop,36,0.00010742580905062441,0.144
tip,75,0.00022380376885546753,0.144
included,54,0.0001611387135759366,0.144
typing,37,0.00011040985930203065,0.14
seems,48,0.0001432344120674992,0.14
colorffffff,130,0.0003879265326828104,0.14
theyre,52,0.00015517061307312416,0.14
folder,54,0.0001611387135759366,0.14
source,80,0.0002387240201124987,0.14
targetblank,911,0.002718469779031079,0.14
game,63,0.00018799516583859271,0.14
allowing,43,0.00012831416081046806,0.14
times,109,0.0003252614774032795,0.14
sized,649,0.0019366486131626457,0.14
submit,54,0.0001611387135759366,0.14
allinone,36,0.00010742580905062441,0.14
called,45,0.0001342822613132805,0.14
module,67,0.00019993136684421766,0.14
prices,115,0.00034316577891171685,0.14
wont,45,0.0001342822613132805,0.14
sales,76,0.00022678781910687377,0.14
zoom,56,0.00016710681407874908,0.14
it,41,0.00012234606030765558,0.14
srchttphomecnetcomadsmediaimagesrhcalsofromcnetnetgif,34,0.00010145770854781195,0.136
shell,78,0.00023275591960968622,0.136
fastest,36,0.00010742580905062441,0.136
dialog,48,0.0001432344120674992,0.136
didnt,47,0.00014025036181609298,0.136
bgcolorccc,64,0.00019097921608999895,0.136
outlook,61,0.00018202706533578027,0.136
thing,59,0.0001760589648329678,0.136
customizable,37,0.00011040985930203065,0.136
takes,47,0.00014025036181609298,0.136
simple,45,0.0001342822613132805,0.136
error,48,0.0001432344120674992,0.136
established,36,0.00010742580905062441,0.136
balance,40,0.00011936201005624934,0.136
released,53,0.0001581546633245304,0.136
different,51,0.00015218656282171792,0.136
call,45,0.0001342822613132805,0.136
changes,48,0.0001432344120674992,0.136
technologies,67,0.00019993136684421766,0.136
seconds,35,0.00010444175879921817,0.136
deal,59,0.0001760589648329678,0.136
buffer,38,0.00011339390955343688,0.136
david,77,0.00022977186935828,0.136
streaming,37,0.00011040985930203065,0.136
stream,36,0.00010742580905062441,0.136
test,45,0.0001342822613132805,0.136
servers,68,0.0002029154170956239,0.136
draw,40,0.00011936201005624934,0.136
logo,53,0.0001581546633245304,0.136
visual,58,0.00017307491458156156,0.136
incredibly,34,0.00010145770854781195,0.136
menus,36,0.00010742580905062441,0.136
leads,65,0.0001939632663414052,0.136
wish,47,0.00014025036181609298,0.136
key,67,0.00019993136684421766,0.136
administrivia,38,0.00011339390955343688,0.136
level,43,0.00012831416081046806,0.136
mailing,65,0.0001939632663414052,0.136
cellpaddingd,430,0.0012831416081046806,0.132
principles,34,0.00010145770854781195,0.132
five,47,0.00014025036181609298,0.132
import,40,0.00011936201005624934,0.132
perfectly,37,0.00011040985930203065,0.132
later,45,0.0001342822613132805,0.132
cellspacingd,438,0.0013070140101159305,0.132
everything,46,0.00013726631156468674,0.132
pilot,36,0.00010742580905062441,0.132
saving,41,0.00012234606030765558,0.132
cd,56,0.00016710681407874908,0.132
nameq,33,9.847365829640571e-05,0.132
productivity,40,0.00011936201005624934,0.132
ill,52,0.00015517061307312416,0.132
avisited,33,9.847365829640571e-05,0.132
scroll,34,0.00010145770854781195,0.132
readers,50,0.0001492025125703117,0.132
widthd,3400,0.010145770854781194,0.132
ebusiness,39,0.00011637795980484311,0.132
though,61,0.00018202706533578027,0.132
sync,33,9.847365829640571e-05,0.132
borderd,1422,0.004243319457499665,0.132
display,46,0.00013726631156468674,0.132
quite,49,0.00014621846231890545,0.132
feed,36,0.00010742580905062441,0.132
th,54,0.0001611387135759366,0.132
scheme,35,0.00010444175879921817,0.132
feel,50,0.0001492025125703117,0.132
actionhttpwwwsearchcomredirect,33,9.847365829640571e-05,0.132
platforms,35,0.00010444175879921817,0.128
article,68,0.0002029154170956239,0.128
palm,103,0.00030735717589484206,0.128
bgcolordffffff,368,0.001098130492517494,0.128
standard,58,0.00017307491458156156,0.128
powershot,103,0.00030735717589484206,0.128
avi,34,0.00010145770854781195,0.128
winning,34,0.00010145770854781195,0.128
images,42,0.00012533011055906182,0.128
building,39,0.00011637795980484311,0.128
statistics,36,0.00010742580905062441,0.128
organizing,35,0.00010444175879921817,0.128
bytes,33,9.847365829640571e-05,0.128
pcs,49,0.00014621846231890545,0.128
career,49,0.00014621846231890545,0.128
changing,39,0.00011637795980484311,0.128
heightd,2191,0.006538054100831058,0.128
summer,52,0.00015517061307312416,0.128
secure,60,0.00017904301508437403,0.128
ceo,65,0.0001939632663414052,0.128
needs,41,0.00012234606030765558,0.128
trees,32,9.548960804499948e-05,0.128
paragraph,36,0.00010742580905062441,0.128
enterprise,55,0.00016412276382734285,0.128
high,53,0.0001581546633245304,0.128
batch,42,0.00012533011055906182,0.128
ahover,32,9.548960804499948e-05,0.128
jpg,43,0.00012831416081046806,0.128
promo,62,0.00018501111558718648,0.128
connection,56,0.00016710681407874908,0.128
specialist,48,0.0001432344120674992,0.128
filling,33,9.847365829640571e-05,0.128
alarms,33,9.847365829640571e-05,0.128
